id_ticket,id_cliente,data_abertura,canal,categoria,texto_reclamacao,csat,nps
T000000,C00000,2024-06-11,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,7
T000001,C00001,2024-02-11,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,3
T000002,C00001,2024-06-22,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,3
T000003,C00004,2023-03-03,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Rafael Ribeiro!",5,9
T000004,C00004,2023-03-24,Chat,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00004@exemplo.com.br.,4,8
T000005,C00005,2025-08-06,Telefone,Cobrança,"Serviço caindo toda hora, um absurdo. Meu email é c00005@exemplo.com.br e ainda não recebi retorno.",3,5
T000006,C00008,2024-06-07,Telefone,Cancelamento,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,3,3
T000007,C00011,2023-05-19,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Elaine Melo!",5,8
T000008,C00011,2023-05-02,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Elaine Melo!",5,8
T000009,C00012,2025-01-05,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",4,6
T000010,C00014,2024-06-19,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Felipe Melo!",5,10
T000011,C00015,2023-09-01,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,6
T000012,C00017,2025-06-07,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",4,10
T000013,C00019,2023-04-17,Telefone,Cancelamento,Já pedi cancelamento e continuam cobrando. Falar com Quezia Barbosa no telefone 21 3344-5566.,1,0
T000014,C00021,2024-02-17,Telefone,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,7
T000015,C00022,2023-06-21,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,7
T000016,C00022,2025-07-14,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Nuno Gomes!",4,8
T000017,C00023,2024-04-24,Chat,Cobrança,Já pedi cancelamento e continuam cobrando. Falar com Marina Carvalho no telefone 21 3344-5566.,1,6
T000018,C00024,2023-08-19,Telefone,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,3,8
T000019,C00026,2023-07-10,Chat,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,5
T000020,C00027,2023-05-13,Email,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,10
T000021,C00028,2025-08-05,Email,Cobrança,"Serviço caindo toda hora, um absurdo. Meu email é c00028@exemplo.com.br e ainda não recebi retorno.",3,6
T000022,C00032,2025-03-04,Telefone,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00032@exemplo.com.br.,4,7
T000023,C00033,2023-05-12,Telefone,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Lucas Oliveira!",3,6
T000024,C00034,2023-02-17,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Rafael Ribeiro!",5,10
T000025,C00036,2023-07-04,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Isabela Souza!",4,7
T000026,C00040,2024-12-03,Chat,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00040@exemplo.com.br.,4,7
T000027,C00041,2024-05-25,Chat,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,7
T000028,C00043,2023-10-26,Telefone,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,7
T000029,C00044,2024-07-14,Chat,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,9
T000030,C00050,2024-11-07,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Carla Ribeiro!",4,6
T000031,C00050,2023-01-25,Email,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",4,6
T000032,C00051,2023-04-07,Telefone,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",3,7
T000033,C00053,2023-08-05,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",4,7
T000034,C00053,2023-12-08,Email,Dúvida,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",3,6
T000035,C00056,2023-07-20,Telefone,Cancelamento,Já pedi cancelamento e continuam cobrando. Falar com Isabela Melo no telefone 21 3344-5566.,3,2
T000036,C00056,2023-03-05,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,6
T000037,C00057,2023-10-28,Telefone,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,10
T000038,C00057,2025-07-23,Email,Cobrança,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,3,6
T000039,C00057,2025-05-24,Telefone,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,10
T000040,C00059,2024-05-24,Telefone,Cobrança,Como faço para alterar meu plano? Podem me contatar no c00059@exemplo.com.br.,4,8
T000041,C00067,2025-05-24,Telefone,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,6
T000042,C00067,2023-08-19,Email,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,6
T000043,C00067,2025-06-25,Email,Técnico,"Serviço caindo toda hora, um absurdo. Meu email é c00067@exemplo.com.br e ainda não recebi retorno.",3,5
T000044,C00068,2025-06-08,Chat,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Sofia Ferreira!",5,10
T000045,C00069,2025-06-17,Telefone,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",5,8
T000046,C00072,2024-08-07,Email,Dúvida,"Atendimento excelente, resolveram meu problema rapidamente. Obrigado, Karina Ferreira!",5,10
T000047,C00072,2023-01-17,Telefone,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,10
T000048,C00073,2023-01-18,Telefone,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,10
T000049,C00073,2024-05-09,Telefone,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",4,8
T000050,C00075,2023-01-16,Email,Técnico,Péssimo atendimento. Se não resolverem vou cancelar e migrar para o concorrente.,3,4
T000051,C00075,2023-03-16,Chat,Dúvida,Como faço para alterar meu plano? Podem me contatar no c00075@exemplo.com.br.,3,5
T000052,C00075,2023-02-28,Chat,Cancelamento,Estou muito insatisfeito. Liguei várias vezes para (11) 98765-4321 e ninguém resolve meu problema.,3,4
T000053,C00077,2023-04-20,Email,Cobrança,"Preciso atualizar meus dados cadastrais, meu telefone é (31) 99888-7777.",3,8
T000054,C00078,2023-11-28,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",5,10
T000055,C00079,2023-01-01,Email,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",4,7
T000056,C00081,2023-03-08,Chat,Cobrança,"Serviço caindo toda hora, um absurdo. Meu email é c00081@exemplo.com.br e ainda não recebi retorno.",3,6
T000057,C00083,2023-07-23,Chat,Dúvida,"Estou satisfeito com o serviço, tudo funcionando bem.",4,9
T000058,C00083,2023-06-21,Telefone,Dúvida,"Muito bom o suporte de vocês, parabéns pela equipe.",4,9
T000059,C00085,2024-11-13,Email,Dúvida,Gostaria de tirar uma dúvida sobre a minha fatura deste mês.,4,7
